,netapp_ontap.system_node,storage.name,LOB,model,Installed_Version,node_version,cluster_name,node_version_install_time_without_timezone,current_date,days_passed_last_ontap_upgrade,Target Golden Image,Target Golden Image-1,Target Golden Image-2,OS_Compliance,OS_Compliance-1
1071,stnpa3-02-st043,stnpca3-st043,CCloud,AFF-A700s,9.10.1P5,NetApp Release 9.10.1P5: Sun Jun 19 14:49:57 UTC 2022,stnpca3-st043,2022-10-29 04:05:00,2023-04-17 16:26:00,170.0,9.10.1P8,9.10.1P5,9.8.0P12,False,True
1072,stnpa3-02-st044,stnpca3-st044,CCloud,AFF-A700s,9.10.1P8,NetApp Release 9.10.1P8: Tue Sep 13 14:10:13 UTC 2022,stnpca3-st044,2023-04-08 22:25:00,2023-04-17 16:26:00,8.0,9.10.1P8,9.10.1P5,9.8.0P12,True,True
1073,stnpa3-02-st046,stnpca3-st046,CCloud,AFF-A800,9.10.1P5,NetApp Release 9.10.1P5: Sun Jun 19 14:49:57 UTC 2022,stnpca3-st046,2022-09-10 22:07:00,2023-04-17 16:26:00,218.0,9.10.1P8,9.10.1P5,9.8.0P12,False,True
1074,stnpa3-02-st047,stnpca3-st047,CCloud,AFF-A800,9.10.1P8,NetApp Release 9.10.1P8: Tue Sep 13 14:10:13 UTC 2022,stnpca3-st047,2023-03-01 10:59:00,2023-04-17 16:26:00,47.0,9.10.1P8,9.10.1P5,9.8.0P12,True,True
1075,stnpa3-02-st048,stnpca3-st048,CCloud,AFF-A800,9.10.1P8,NetApp Release 9.10.1P8: Tue Sep 13 14:10:13 UTC 2022,stnpca3-st048,2023-02-06 22:27:00,2023-04-17 16:26:00,69.0,9.10.1P8,9.10.1P5,9.8.0P12,True,True
1076,stnpa3-02-st050,stnpca3-st050,CCloud,AFF-A800,9.10.1P8,NetApp Release 9.10.1P8: Tue Sep 13 14:10:13 UTC 2022,stnpca3-st050,2023-02-22 22:17:00,2023-04-17 16:26:00,53.0,9.10.1P8,9.10.1P5,9.8.0P12,True,True
1077,stnpa3-02-st052,stnpca3-st052,CCloud,AFF-A800,9.10.1P5,NetApp Release 9.10.1P5: Sun Jun 19 14:49:57 UTC 2022,stnpca3-st052,2022-12-04 04:07:00,2023-04-17 16:26:00,134.0,9.10.1P8,9.10.1P5,9.8.0P12,False,True
1078,stnpa3-02-st053,stnpca3-st053,CCloud,AFF-A800,9.10.1P8,NetApp Release 9.10.1P8: Tue Sep 13 14:10:13 UTC 2022,stnpca3-st053,2023-03-02 23:42:00,2023-04-17 16:26:00,45.0,9.10.1P8,9.10.1P5,9.8.0P12,True,True
1079,stnpa3-02-st054,stnpca3-st054,CCloud,AFF-A800,9.10.1P8,NetApp Release 9.10.1P8: Tue Sep 13 14:10:13 UTC 2022,stnpca3-st054,2023-01-09 22:13:00,2023-04-17 16:26:00,97.0,9.10.1P8,9.10.1P5,9.8.0P12,True,True
1080,stnpa3-02-st055,stnpca3-st055,CCloud,AFF-A800,9.10.1P8,NetApp Release 9.10.1P8: Tue Sep 13 14:10:13 UTC 2022,stnpca3-st055,2023-02-07 22:28:00,2023-04-17 16:26:00,68.0,9.10.1P8,9.10.1P5,9.8.0P12,True,True
