netapp_ontap.system_node,node_version_install_time,node_version,cluster_name
hec01f0045,15 Nov 2022 18:48 UTC,NetApp Release 9.8P12: Fri May 13 00:04:00 UTC 2022,hec01fc001
hec01f0046,15 Nov 2022 18:48 UTC,NetApp Release 9.8P12: Fri May 13 00:04:00 UTC 2022,hec01fc001
hec01f0047,15 Sep 2022 18:15 UTC,NetApp Release 9.8P12: Fri May 13 00:04:00 UTC 2022,hec01fc010
hec01f0048,15 Sep 2022 18:15 UTC,NetApp Release 9.8P12: Fri May 13 00:04:00 UTC 2022,hec01fc010
hec01f0049,17 Nov 2022 18:57 UTC,NetApp Release 9.8P12: Fri May 13 00:04:00 UTC 2022,hec01fc009
hec01f0050,17 Nov 2022 18:58 UTC,NetApp Release 9.8P12: Fri May 13 00:04:00 UTC 2022,hec01fc009
hec01f0051,17 Nov 2022 18:57 UTC,NetApp Release 9.8P12: Fri May 13 00:04:00 UTC 2022,hec01fc009
hec01f0052,17 Nov 2022 18:57 UTC,NetApp Release 9.8P12: Fri May 13 00:04:00 UTC 2022,hec01fc009
hec01f0053,20 Sep 2022 18:28 UTC,NetApp Release 9.8P12: Fri May 13 00:04:00 UTC 2022,hec01fc002
hec01f0054,20 Sep 2022 18:28 UTC,NetApp Release 9.8P12: Fri May 13 00:04:00 UTC 2022,hec01fc002
hec01f0055,15 Nov 2022 18:48 UTC,NetApp Release 9.8P12: Fri May 13 00:04:00 UTC 2022,hec01fc001
hec01f0056,15 Nov 2022 18:48 UTC,NetApp Release 9.8P12: Fri May 13 00:04:00 UTC 2022,hec01fc001
hec01f0057,15 Nov 2022 18:48 UTC,NetApp Release 9.8P12: Fri May 13 00:04:00 UTC 2022,hec01fc001
hec01f0058,15 Nov 2022 18:49 UTC,NetApp Release 9.8P12: Fri May 13 00:04:00 UTC 2022,hec01fc001
hec01f0061,28 Sep 2022 18:32 UTC,NetApp Release 9.8P12: Fri May 13 00:04:00 UTC 2022,hec01fc012
hec01f0062,28 Sep 2022 18:33 UTC,NetApp Release 9.8P12: Fri May 13 00:04:00 UTC 2022,hec01fc012
hec01f0063,28 Sep 2022 18:33 UTC,NetApp Release 9.8P12: Fri May 13 00:04:00 UTC 2022,hec01fc012
hec01f0064,28 Sep 2022 18:33 UTC,NetApp Release 9.8P12: Fri May 13 00:04:00 UTC 2022,hec01fc012
hec01f0065,27 Sep 2022 18:39 UTC,NetApp Release 9.8P12: Fri May 13 00:04:00 UTC 2022,hec01fc004
hec01f0066,27 Sep 2022 18:40 UTC,NetApp Release 9.8P12: Fri May 13 00:04:00 UTC 2022,hec01fc004
hec01f0073,18 Nov 2022 18:53 UTC,NetApp Release 9.8P12: Fri May 13 00:04:00 UTC 2022,hec01fc008
hec01f0074,18 Nov 2022 18:53 UTC,NetApp Release 9.8P12: Fri May 13 00:04:00 UTC 2022,hec01fc008
hec01f0075,16 Nov 2022 19:51 UTC,NetApp Release 9.8P12: Fri May 13 00:04:00 UTC 2022,hec01fc006
hec01f0076,16 Nov 2022 19:52 UTC,NetApp Release 9.8P12: Fri May 13 00:04:00 UTC 2022,hec01fc006
hec01f0077,16 Nov 2022 19:52 UTC,NetApp Release 9.8P12: Fri May 13 00:04:00 UTC 2022,hec01fc006
hec01f0078,16 Nov 2022 19:52 UTC,NetApp Release 9.8P12: Fri May 13 00:04:00 UTC 2022,hec01fc006
hec01f0079,16 Nov 2022 19:52 UTC,NetApp Release 9.8P12: Fri May 13 00:04:00 UTC 2022,hec01fc006
hec01f0080,16 Nov 2022 19:52 UTC,NetApp Release 9.8P12: Fri May 13 00:04:00 UTC 2022,hec01fc006
hec01f0081,15 Nov 2022 18:48 UTC,NetApp Release 9.8P12: Fri May 13 00:04:00 UTC 2022,hec01fc001
hec01f0082,15 Nov 2022 18:48 UTC,NetApp Release 9.8P12: Fri May 13 00:04:00 UTC 2022,hec01fc001
